,,,,,,,,,,,,,,,
BTC,Avail. Supply,Daily emission,Block Reward,Inflation,% Mined,Normalized for XMR,XMR,Avail. Supply,Daily emission,Block Reward,Inflation,% Mined,,,
day 2943,"15,804,000.00","1,800.00",12.5000,0.01139%,75.26%,"1,577.14",day 976,"13,615,959.42","6,634.07",4.6070,0.04872%,74.00%,,12/20/2016,
day 2944,"15,805,800.00","1,800.00",12.5000,0.01139%,75.27%,"1,577.14",day 977,"13,622,593.49","6,624.96",4.6007,0.04863%,74.04%,,12/21/2016,
day 2945,"15,807,600.00","1,800.00",12.5000,0.01139%,75.27%,"1,577.14",day 978,"13,629,218.45","6,615.86",4.5944,0.04854%,74.07%,,12/22/2016,
day 2946,"15,809,400.00","1,800.00",12.5000,0.01139%,75.28%,"1,577.14",day 979,"13,635,834.32","6,606.78",4.5880,0.04845%,74.11%,,12/23/2016,
day 2947,"15,811,200.00","1,800.00",12.5000,0.01138%,75.29%,"1,577.14",day 980,"13,642,441.10","6,597.71",4.5817,0.04836%,74.14%,,12/24/2016,
day 2948,"15,813,000.00","1,800.00",12.5000,0.01138%,75.30%,"1,577.14",day 981,"13,649,038.80","6,588.65",4.5754,0.04827%,74.18%,,12/25/2016,
day 2949,"15,814,800.00","1,800.00",12.5000,0.01138%,75.31%,"1,577.14",day 982,"13,655,627.45","6,579.60",4.5692,0.04818%,74.22%,,12/26/2016,
day 2950,"15,816,600.00","1,800.00",12.5000,0.01138%,75.32%,"1,577.14",day 983,"13,662,207.05","6,570.56",4.5629,0.04809%,74.25%,,12/27/2016,
day 2951,"15,818,400.00","1,800.00",12.5000,0.01138%,75.33%,"1,577.14",day 984,"13,668,777.61","6,561.54",4.5566,0.04800%,74.29%,,12/28/2016,
day 2952,"15,820,200.00","1,800.00",12.5000,0.01138%,75.33%,"1,577.14",day 985,"13,675,339.15","6,552.53",4.5504,0.04791%,74.32%,,12/29/2016,
day 2953,"15,822,000.00","1,800.00",12.5000,0.01138%,75.34%,"1,577.14",day 986,"13,681,891.67","6,543.53",4.5441,0.04783%,74.36%,,12/30/2016,
day 2954,"15,823,800.00","1,800.00",12.5000,0.01138%,75.35%,"1,577.14",day 987,"13,688,435.20","6,534.54",4.5379,0.04774%,74.39%,,12/31/2016,
day 2955,"15,825,600.00","1,800.00",12.5000,0.01137%,75.36%,"1,577.14",day 988,"13,694,969.75","6,525.57",4.5316,0.04765%,74.43%,,1/1/2017,
day 2956,"15,827,400.00","1,800.00",12.5000,0.01137%,75.37%,"1,577.14",day 989,"13,701,495.31","6,516.61",4.5254,0.04756%,74.46%,,1/2/2017,
day 2957,"15,829,200.00","1,800.00",12.5000,0.01137%,75.38%,"1,577.14",day 990,"13,708,011.92","6,507.66",4.5192,0.04747%,74.50%,,1/3/2017,
day 2958,"15,831,000.00","1,800.00",12.5000,0.01137%,75.39%,"1,577.14",day 991,"13,714,519.58","6,498.72",4.5130,0.04739%,74.54%,,1/4/2017,
day 2959,"15,832,800.00","1,800.00",12.5000,0.01137%,75.39%,"1,577.14",day 992,"13,721,018.30","6,489.80",4.5068,0.04730%,74.57%,,1/5/2017,
day 2960,"15,834,600.00","1,800.00",12.5000,0.01137%,75.40%,"1,577.14",day 993,"13,727,508.10","6,480.88",4.5006,0.04721%,74.61%,,1/6/2017,
day 2961,"15,836,400.00","1,800.00",12.5000,0.01137%,75.41%,"1,577.14",day 994,"13,733,988.98","6,471.98",4.4944,0.04712%,74.64%,,1/7/2017,
day 2962,"15,838,200.00","1,800.00",12.5000,0.01136%,75.42%,"1,577.14",day 995,"13,740,460.97","6,463.10",4.4883,0.04704%,74.68%,,1/8/2017,
day 2963,"15,840,000.00","1,800.00",12.5000,0.01136%,75.43%,"1,577.14",day 996,"13,746,924.06","6,454.22",4.4821,0.04695%,74.71%,,1/9/2017,
day 2964,"15,841,800.00","1,800.00",12.5000,0.01136%,75.44%,"1,577.14",day 997,"13,753,378.28","6,445.36",4.4759,0.04686%,74.75%,,1/10/2017,
day 2965,"15,843,600.00","1,800.00",12.5000,0.01136%,75.45%,"1,577.14",day 998,"13,759,823.64","6,436.51",4.4698,0.04678%,74.78%,,1/11/2017,
day 2966,"15,845,400.00","1,800.00",12.5000,0.01136%,75.45%,"1,577.14",day 999,"13,766,260.15","6,427.67",4.4637,0.04669%,74.82%,,1/12/2017,
day 2967,"15,847,200.00","1,800.00",12.5000,0.01136%,75.46%,"1,577.14",day 1000,"13,772,687.81","6,418.84",4.4575,0.04661%,74.85%,,1/13/2017,
day 2968,"15,849,000.00","1,800.00",12.5000,0.01136%,75.47%,"1,577.14",day 1001,"13,779,106.65","6,410.02",4.4514,0.04652%,74.89%,,1/14/2017,
day 2969,"15,850,800.00","1,800.00",12.5000,0.01136%,75.48%,"1,577.14",day 1002,"13,785,516.68","6,401.22",4.4453,0.04643%,74.92%,,1/15/2017,
day 2970,"15,852,600.00","1,800.00",12.5000,0.01135%,75.49%,"1,577.14",day 1003,"13,791,917.90","6,392.43",4.4392,0.04635%,74.96%,,1/16/2017,
day 2971,"15,854,400.00","1,800.00",12.5000,0.01135%,75.50%,"1,577.14",day 1004,"13,798,310.33","6,383.65",4.4331,0.04626%,74.99%,,1/17/2017,
day 2972,"15,856,200.00","1,800.00",12.5000,0.01135%,75.51%,"1,577.14",day 1005,"13,804,693.98","6,374.89",4.4270,0.04618%,75.03%,,1/18/2017,
day 2973,"15,858,000.00","1,800.00",12.5000,0.01135%,75.51%,"1,577.14",day 1006,"13,811,068.87","6,366.13",4.4209,0.04609%,75.06%,,1/19/2017,
day 2974,"15,859,800.00","1,800.00",12.5000,0.01135%,75.52%,"1,577.14",day 1007,"13,817,435.00","6,357.39",4.4149,0.04601%,75.09%,,1/20/2017,
day 2975,"15,861,600.00","1,800.00",12.5000,0.01135%,75.53%,"1,577.14",day 1008,"13,823,792.39","6,348.66",4.4088,0.04593%,75.13%,,1/21/2017,
day 2976,"15,863,400.00","1,800.00",12.5000,0.01135%,75.54%,"1,577.14",day 1009,"13,830,141.05","6,339.94",4.4027,0.04584%,75.16%,,1/22/2017,
day 2977,"15,865,200.00","1,800.00",12.5000,0.01135%,75.55%,"1,577.14",day 1010,"13,836,480.99","6,331.23",4.3967,0.04576%,75.20%,,1/23/2017,
day 2978,"15,867,000.00","1,800.00",12.5000,0.01134%,75.56%,"1,577.14",day 1011,"13,842,812.22","6,322.54",4.3907,0.04567%,75.23%,,1/24/2017,
day 2979,"15,868,800.00","1,800.00",12.5000,0.01134%,75.57%,"1,577.14",day 1012,"13,849,134.76","6,313.86",4.3846,0.04559%,75.27%,,1/25/2017,
day 2980,"15,870,600.00","1,800.00",12.5000,0.01134%,75.57%,"1,577.14",day 1013,"13,855,448.61","6,305.18",4.3786,0.04551%,75.30%,,1/26/2017,
day 2981,"15,872,400.00","1,800.00",12.5000,0.01134%,75.58%,"1,577.14",day 1014,"13,861,753.80","6,296.53",4.3726,0.04542%,75.34%,,1/27/2017,
day 2982,"15,874,200.00","1,800.00",12.5000,0.01134%,75.59%,"1,577.14",day 1015,"13,868,050.32","6,287.88",4.3666,0.04534%,75.37%,,1/28/2017,
day 2983,"15,876,000.00","1,800.00",12.5000,0.01134%,75.60%,"1,577.14",day 1016,"13,874,338.20","6,279.24",4.3606,0.04526%,75.40%,,1/29/2017,
day 2984,"15,877,800.00","1,800.00",12.5000,0.01134%,75.61%,"1,577.14",day 1017,"13,880,617.45","6,270.62",4.3546,0.04518%,75.44%,,1/30/2017,
day 2985,"15,879,600.00","1,800.00",12.5000,0.01134%,75.62%,"1,577.14",day 1018,"13,886,888.07","6,262.01",4.3486,0.04509%,75.47%,,1/31/2017,
day 2986,"15,881,400.00","1,800.00",12.5000,0.01133%,75.63%,"1,577.14",day 1019,"13,893,150.08","6,253.41",4.3426,0.04501%,75.51%,,2/1/2017,
day 2987,"15,883,200.00","1,800.00",12.5000,0.01133%,75.63%,"1,577.14",day 1020,"13,899,403.49","6,244.82",4.3367,0.04493%,75.54%,,2/2/2017,
day 2988,"15,885,000.00","1,800.00",12.5000,0.01133%,75.64%,"1,577.14",day 1021,"13,905,648.31","6,236.25",4.3307,0.04485%,75.57%,,2/3/2017,
day 2989,"15,886,800.00","1,800.00",12.5000,0.01133%,75.65%,"1,577.14",day 1022,"13,911,884.55","6,227.68",4.3248,0.04477%,75.61%,,2/4/2017,
day 2990,"15,888,600.00","1,800.00",12.5000,0.01133%,75.66%,"1,577.14",day 1023,"13,918,112.24","6,219.13",4.3188,0.04468%,75.64%,,2/5/2017,
day 2991,"15,890,400.00","1,800.00",12.5000,0.01133%,75.67%,"1,577.14",day 1024,"13,924,331.36","6,210.59",4.3129,0.04460%,75.68%,,2/6/2017,% Total Emission Crossover
day 2992,"15,892,200.00","1,800.00",12.5000,0.01133%,75.68%,"1,577.14",day 1025,"13,930,541.95","6,202.06",4.3070,0.04452%,75.71%,,2/7/2017,
day 2993,"15,894,000.00","1,800.00",12.5000,0.01133%,75.69%,"1,577.14",day 1026,"13,936,744.01","6,193.54",4.3011,0.04444%,75.74%,,2/8/2017,
day 2994,"15,895,800.00","1,800.00",12.5000,0.01132%,75.69%,"1,577.14",day 1027,"13,942,937.56","6,185.04",4.2952,0.04436%,75.78%,,2/9/2017,
day 2995,"15,897,600.00","1,800.00",12.5000,0.01132%,75.70%,"1,577.14",day 1028,"13,949,122.59","6,176.54",4.2893,0.04428%,75.81%,,2/10/2017,
day 2996,"15,899,400.00","1,800.00",12.5000,0.01132%,75.71%,"1,577.14",day 1029,"13,955,299.14","6,168.06",4.2834,0.04420%,75.84%,,2/11/2017,
day 2997,"15,901,200.00","1,800.00",12.5000,0.01132%,75.72%,"1,577.14",day 1030,"13,961,467.20","6,159.59",4.2775,0.04412%,75.88%,,2/12/2017,
day 2998,"15,903,000.00","1,800.00",12.5000,0.01132%,75.73%,"1,577.14",day 1031,"13,967,626.79","6,151.13",4.2716,0.04404%,75.91%,,2/13/2017,
day 2999,"15,904,800.00","1,800.00",12.5000,0.01132%,75.74%,"1,577.14",day 1032,"13,973,777.92","6,142.68",4.2658,0.04396%,75.94%,,2/14/2017,
day 3000,"15,906,600.00","1,800.00",12.5000,0.01132%,75.75%,"1,577.14",day 1033,"13,979,920.60","6,134.25",4.2599,0.04388%,75.98%,,2/15/2017,
day 3001,"15,908,400.00","1,800.00",12.5000,0.01131%,75.75%,"1,577.14",day 1034,"13,986,054.85","6,125.82",4.2540,0.04380%,76.01%,,2/16/2017,
day 3002,"15,910,200.00","1,800.00",12.5000,0.01131%,75.76%,"1,577.14",day 1035,"13,992,180.68","6,117.41",4.2482,0.04372%,76.04%,,2/17/2017,
day 3003,"15,912,000.00","1,800.00",12.5000,0.01131%,75.77%,"1,577.14",day 1036,"13,998,298.09","6,109.01",4.2424,0.04364%,76.08%,,2/18/2017,
day 3004,"15,913,800.00","1,800.00",12.5000,0.01131%,75.78%,"1,577.14",day 1037,"14,004,407.10","6,100.62",4.2365,0.04356%,76.11%,,2/19/2017,
day 3005,"15,915,600.00","1,800.00",12.5000,0.01131%,75.79%,"1,577.14",day 1038,"14,010,507.72","6,092.24",4.2307,0.04348%,76.14%,,2/20/2017,
day 3006,"15,917,400.00","1,800.00",12.5000,0.01131%,75.80%,"1,577.14",day 1039,"14,016,599.96","6,083.88",4.2249,0.04340%,76.18%,,2/21/2017,
day 3007,"15,919,200.00","1,800.00",12.5000,0.01131%,75.81%,"1,577.14",day 1040,"14,022,683.84","6,075.52",4.2191,0.04333%,76.21%,,2/22/2017,
day 3008,"15,921,000.00","1,800.00",12.5000,0.01131%,75.81%,"1,577.14",day 1041,"14,028,759.36","6,067.18",4.2133,0.04325%,76.24%,,2/23/2017,
day 3009,"15,922,800.00","1,800.00",12.5000,0.01130%,75.82%,"1,577.14",day 1042,"14,034,826.54","6,058.85",4.2075,0.04317%,76.28%,,2/24/2017,
day 3010,"15,924,600.00","1,800.00",12.5000,0.01130%,75.83%,"1,577.14",day 1043,"14,040,885.39","6,050.53",4.2018,0.04309%,76.31%,,2/25/2017,
day 3011,"15,926,400.00","1,800.00",12.5000,0.01130%,75.84%,"1,577.14",day 1044,"14,046,935.91","6,042.22",4.1960,0.04301%,76.34%,,2/26/2017,
day 3012,"15,928,200.00","1,800.00",12.5000,0.01130%,75.85%,"1,577.14",day 1045,"14,052,978.13","6,033.92",4.1902,0.04294%,76.37%,,2/27/2017,
day 3013,"15,930,000.00","1,800.00",12.5000,0.01130%,75.86%,"1,577.14",day 1046,"14,059,012.05","6,025.63",4.1845,0.04286%,76.41%,,2/28/2017,
day 3014,"15,931,800.00","1,800.00",12.5000,0.01130%,75.87%,"1,577.14",day 1047,"14,065,037.68","6,017.36",4.1787,0.04278%,76.44%,,3/1/2017,
day 3015,"15,933,600.00","1,800.00",12.5000,0.01130%,75.87%,"1,577.14",day 1048,"14,071,055.04","6,009.09",4.1730,0.04271%,76.47%,,3/2/2017,
day 3016,"15,935,400.00","1,800.00",12.5000,0.01130%,75.88%,"1,577.14",day 1049,"14,077,064.14","6,000.84",4.1673,0.04263%,76.51%,,3/3/2017,
day 3017,"15,937,200.00","1,800.00",12.5000,0.01129%,75.89%,"1,577.14",day 1050,"14,083,064.98","5,992.60",4.1615,0.04255%,76.54%,,3/4/2017,
day 3018,"15,939,000.00","1,800.00",12.5000,0.01129%,75.90%,"1,577.14",day 1051,"14,089,057.58","5,984.37",4.1558,0.04248%,76.57%,,3/5/2017,
day 3019,"15,940,800.00","1,800.00",12.5000,0.01129%,75.91%,"1,577.14",day 1052,"14,095,041.95","5,976.15",4.1501,0.04240%,76.60%,,3/6/2017,
day 3020,"15,942,600.00","1,800.00",12.5000,0.01129%,75.92%,"1,577.14",day 1053,"14,101,018.11","5,967.95",4.1444,0.04232%,76.64%,,3/7/2017,
day 3021,"15,944,400.00","1,800.00",12.5000,0.01129%,75.93%,"1,577.14",day 1054,"14,106,986.05","5,959.75",4.1387,0.04225%,76.67%,,3/8/2017,
day 3022,"15,946,200.00","1,800.00",12.5000,0.01129%,75.93%,"1,577.14",day 1055,"14,112,945.80","5,951.57",4.1330,0.04217%,76.70%,,3/9/2017,
day 3023,"15,948,000.00","1,800.00",12.5000,0.01129%,75.94%,"1,577.14",day 1056,"14,118,897.37","5,943.39",4.1274,0.04210%,76.73%,,3/10/2017,
day 3024,"15,949,800.00","1,800.00",12.5000,0.01129%,75.95%,"1,577.14",day 1057,"14,124,840.76","5,935.23",4.1217,0.04202%,76.77%,,3/11/2017,
day 3025,"15,951,600.00","1,800.00",12.5000,0.01128%,75.96%,"1,577.14",day 1058,"14,130,775.99","5,927.08",4.1160,0.04194%,76.80%,,3/12/2017,
day 3026,"15,953,400.00","1,800.00",12.5000,0.01128%,75.97%,"1,577.14",day 1059,"14,136,703.07","5,918.94",4.1104,0.04187%,76.83%,,3/13/2017,
day 3027,"15,955,200.00","1,800.00",12.5000,0.01128%,75.98%,"1,577.14",day 1060,"14,142,622.01","5,910.81",4.1047,0.04179%,76.86%,,3/14/2017,
day 3028,"15,957,000.00","1,800.00",12.5000,0.01128%,75.99%,"1,577.14",day 1061,"14,148,532.83","5,902.69",4.0991,0.04172%,76.89%,,3/15/2017,
day 3029,"15,958,800.00","1,800.00",12.5000,0.01128%,75.99%,"1,577.14",day 1062,"14,154,435.52","5,894.59",4.0935,0.04164%,76.93%,,3/16/2017,
day 3030,"15,960,600.00","1,800.00",12.5000,0.01128%,76.00%,"1,577.14",day 1063,"14,160,330.11","5,886.49",4.0878,0.04157%,76.96%,,3/17/2017,
day 3031,"15,962,400.00","1,800.00",12.5000,0.01128%,76.01%,"1,577.14",day 1064,"14,166,216.60","5,878.41",4.0822,0.04150%,76.99%,,3/18/2017,
day 3032,"15,964,200.00","1,800.00",12.5000,0.01128%,76.02%,"1,577.14",day 1065,"14,172,095.01","5,870.34",4.0766,0.04142%,77.02%,,3/19/2017,
day 3033,"15,966,000.00","1,800.00",12.5000,0.01127%,76.03%,"1,577.14",day 1066,"14,177,965.35","5,862.28",4.0710,0.04135%,77.05%,,3/20/2017,
day 3034,"15,967,800.00","1,800.00",12.5000,0.01127%,76.04%,"1,577.14",day 1067,"14,183,827.63","5,854.22",4.0654,0.04127%,77.09%,,3/21/2017,
day 3035,"15,969,600.00","1,800.00",12.5000,0.01127%,76.05%,"1,577.14",day 1068,"14,189,681.85","5,846.19",4.0599,0.04120%,77.12%,,3/22/2017,
day 3036,"15,971,400.00","1,800.00",12.5000,0.01127%,76.05%,"1,577.14",day 1069,"14,195,528.04","5,838.16",4.0543,0.04113%,77.15%,,3/23/2017,
day 3037,"15,973,200.00","1,800.00",12.5000,0.01127%,76.06%,"1,577.14",day 1070,"14,201,366.19","5,830.14",4.0487,0.04105%,77.18%,,3/24/2017,
day 3038,"15,975,000.00","1,800.00",12.5000,0.01127%,76.07%,"1,577.14",day 1071,"14,207,196.33","5,822.13",4.0431,0.04098%,77.21%,,3/25/2017,
day 3039,"15,976,800.00","1,800.00",12.5000,0.01127%,76.08%,"1,577.14",day 1072,"14,213,018.46","5,814.14",4.0376,0.04091%,77.24%,,3/26/2017,
day 3040,"15,978,600.00","1,800.00",12.5000,0.01127%,76.09%,"1,577.14",day 1073,"14,218,832.60","5,806.15",4.0321,0.04083%,77.28%,,3/27/2017,
day 3041,"15,980,400.00","1,800.00",12.5000,0.01126%,76.10%,"1,577.14",day 1074,"14,224,638.75","5,798.18",4.0265,0.04076%,77.31%,,3/28/2017,
day 3042,"15,982,200.00","1,800.00",12.5000,0.01126%,76.11%,"1,577.14",day 1075,"14,230,436.93","5,790.22",4.0210,0.04069%,77.34%,,3/29/2017,
day 3043,"15,984,000.00","1,800.00",12.5000,0.01126%,76.11%,"1,577.14",day 1076,"14,236,227.15","5,782.27",4.0155,0.04062%,77.37%,,3/30/2017,
day 3044,"15,985,800.00","1,800.00",12.5000,0.01126%,76.12%,"1,577.14",day 1077,"14,242,009.42","5,774.32",4.0099,0.04054%,77.40%,,3/31/2017,
day 3045,"15,987,600.00","1,800.00",12.5000,0.01126%,76.13%,"1,577.14",day 1078,"14,247,783.74","5,766.39",4.0044,0.04047%,77.43%,,4/1/2017,
day 3046,"15,989,400.00","1,800.00",12.5000,0.01126%,76.14%,"1,577.14",day 1079,"14,253,550.13","5,758.48",3.9989,0.04040%,77.46%,,4/2/2017,
day 3047,"15,991,200.00","1,800.00",12.5000,0.01126%,76.15%,"1,577.14",day 1080,"14,259,308.61","5,750.57",3.9934,0.04033%,77.50%,,4/3/2017,
day 3048,"15,993,000.00","1,800.00",12.5000,0.01125%,76.16%,"1,577.14",day 1081,"14,265,059.18","5,742.67",3.9880,0.04026%,77.53%,,4/4/2017,
day 3049,"15,994,800.00","1,800.00",12.5000,0.01125%,76.17%,"1,577.14",day 1082,"14,270,801.85","5,734.78",3.9825,0.04019%,77.56%,,4/5/2017,
day 3050,"15,996,600.00","1,800.00",12.5000,0.01125%,76.17%,"1,577.14",day 1083,"14,276,536.63","5,726.91",3.9770,0.04011%,77.59%,,4/6/2017,
day 3051,"15,998,400.00","1,800.00",12.5000,0.01125%,76.18%,"1,577.14",day 1084,"14,282,263.54","5,719.04",3.9716,0.04004%,77.62%,,4/7/2017,
day 3052,"16,000,200.00","1,800.00",12.5000,0.01125%,76.19%,"1,577.14",day 1085,"14,287,982.58","5,711.19",3.9661,0.03997%,77.65%,,4/8/2017,
day 3053,"16,002,000.00","1,800.00",12.5000,0.01125%,76.20%,"1,577.14",day 1086,"14,293,693.77","5,703.35",3.9607,0.03990%,77.68%,,4/9/2017,
day 3054,"16,003,800.00","1,800.00",12.5000,0.01125%,76.21%,"1,577.14",day 1087,"14,299,397.12","5,695.51",3.9552,0.03983%,77.71%,,4/10/2017,
day 3055,"16,005,600.00","1,800.00",12.5000,0.01125%,76.22%,"1,577.14",day 1088,"14,305,092.63","5,687.69",3.9498,0.03976%,77.75%,,4/11/2017,
day 3056,"16,007,400.00","1,800.00",12.5000,0.01124%,76.23%,"1,577.14",day 1089,"14,310,780.33","5,679.88",3.9444,0.03969%,77.78%,,4/12/2017,
day 3057,"16,009,200.00","1,800.00",12.5000,0.01124%,76.23%,"1,577.14",day 1090,"14,316,460.21","5,672.08",3.9389,0.03962%,77.81%,,4/13/2017,
day 3058,"16,011,000.00","1,800.00",12.5000,0.01124%,76.24%,"1,577.14",day 1091,"14,322,132.29","5,664.29",3.9335,0.03955%,77.84%,,4/14/2017,
day 3059,"16,012,800.00","1,800.00",12.5000,0.01124%,76.25%,"1,577.14",day 1092,"14,327,796.58","5,656.51",3.9281,0.03948%,77.87%,,4/15/2017,
day 3060,"16,014,600.00","1,800.00",12.5000,0.01124%,76.26%,"1,577.14",day 1093,"14,333,453.10","5,648.75",3.9227,0.03941%,77.90%,,4/16/2017,
day 3061,"16,016,400.00","1,800.00",12.5000,0.01124%,76.27%,"1,577.14",day 1094,"14,339,101.84","5,640.99",3.9174,0.03934%,77.93%,,4/17/2017,
day 3062,"16,018,200.00","1,800.00",12.5000,0.01124%,76.28%,"1,577.14",day 1095,"14,344,742.83","5,633.24",3.9120,0.03927%,77.96%,,4/18/2017,
day 3063,"16,020,000.00","1,800.00",12.5000,0.01124%,76.29%,"1,577.14",day 1096,"14,350,376.07","5,625.51",3.9066,0.03920%,77.99%,,4/19/2017,
day 3064,"16,021,800.00","1,800.00",12.5000,0.01123%,76.29%,"1,577.14",day 1097,"14,356,001.58","5,617.78",3.9012,0.03913%,78.02%,,4/20/2017,
day 3065,"16,023,600.00","1,800.00",12.5000,0.01123%,76.30%,"1,577.14",day 1098,"14,361,619.36","5,610.07",3.8959,0.03906%,78.05%,,4/21/2017,
day 3066,"16,025,400.00","1,800.00",12.5000,0.01123%,76.31%,"1,577.14",day 1099,"14,367,229.42","5,602.36",3.8905,0.03899%,78.08%,,4/22/2017,
day 3067,"16,027,200.00","1,800.00",12.5000,0.01123%,76.32%,"1,577.14",day 1100,"14,372,831.78","5,594.67",3.8852,0.03893%,78.11%,,4/23/2017,
day 3068,"16,029,000.00","1,800.00",12.5000,0.01123%,76.33%,"1,577.14",day 1101,"14,378,426.45","5,586.98",3.8799,0.03886%,78.14%,,4/24/2017,
day 3069,"16,030,800.00","1,800.00",12.5000,0.01123%,76.34%,"1,577.14",day 1102,"14,384,013.43","5,579.31",3.8745,0.03879%,78.17%,,4/25/2017,
day 3070,"16,032,600.00","1,800.00",12.5000,0.01123%,76.35%,"1,577.14",day 1103,"14,389,592.75","5,571.65",3.8692,0.03872%,78.20%,,4/26/2017,
day 3071,"16,034,400.00","1,800.00",12.5000,0.01123%,76.35%,"1,577.14",day 1104,"14,395,164.40","5,564.00",3.8639,0.03865%,78.23%,,4/27/2017,
day 3072,"16,036,200.00","1,800.00",12.5000,0.01122%,76.36%,"1,577.14",day 1105,"14,400,728.39","5,556.36",3.8586,0.03858%,78.26%,,4/28/2017,
day 3073,"16,038,000.00","1,800.00",12.5000,0.01122%,76.37%,"1,577.14",day 1106,"14,406,284.75","5,548.73",3.8533,0.03852%,78.30%,,4/29/2017,
day 3074,"16,039,800.00","1,800.00",12.5000,0.01122%,76.38%,"1,577.14",day 1107,"14,411,833.48","5,541.11",3.8480,0.03845%,78.33%,,4/30/2017,
day 3075,"16,041,600.00","1,800.00",12.5000,0.01122%,76.39%,"1,577.14",day 1108,"14,417,374.58","5,533.50",3.8427,0.03838%,78.36%,,5/1/2017,
day 3076,"16,043,400.00","1,800.00",12.5000,0.01122%,76.40%,"1,577.14",day 1109,"14,422,908.08","5,525.90",3.8374,0.03831%,78.39%,,5/2/2017,
day 3077,"16,045,200.00","1,800.00",12.5000,0.01122%,76.41%,"1,577.14",day 1110,"14,428,433.98","5,518.31",3.8322,0.03825%,78.42%,,5/3/2017,
day 3078,"16,047,000.00","1,800.00",12.5000,0.01122%,76.41%,"1,577.14",day 1111,"14,433,952.29","5,510.73",3.8269,0.03818%,78.45%,,5/4/2017,
day 3079,"16,048,800.00","1,800.00",12.5000,0.01122%,76.42%,"1,577.14",day 1112,"14,439,463.02","5,503.16",3.8216,0.03811%,78.48%,,5/5/2017,
day 3080,"16,050,600.00","1,800.00",12.5000,0.01121%,76.43%,"1,577.14",day 1113,"14,444,966.18","5,495.61",3.8164,0.03805%,78.51%,,5/6/2017,
day 3081,"16,052,400.00","1,800.00",12.5000,0.01121%,76.44%,"1,577.14",day 1114,"14,450,461.79","5,488.06",3.8112,0.03798%,78.54%,,5/7/2017,
day 3082,"16,054,200.00","1,800.00",12.5000,0.01121%,76.45%,"1,577.14",day 1115,"14,455,949.85","5,480.52",3.8059,0.03791%,78.56%,,5/8/2017,
day 3083,"16,056,000.00","1,800.00",12.5000,0.01121%,76.46%,"1,577.14",day 1116,"14,461,430.37","5,473.00",3.8007,0.03785%,78.59%,,5/9/2017,
day 3084,"16,057,800.00","1,800.00",12.5000,0.01121%,76.47%,"1,577.14",day 1117,"14,466,903.36","5,465.48",3.7955,0.03778%,78.62%,,5/10/2017,
day 3085,"16,059,600.00","1,800.00",12.5000,0.01121%,76.47%,"1,577.14",day 1118,"14,472,368.84","5,457.97",3.7903,0.03771%,78.65%,,5/11/2017,
day 3086,"16,061,400.00","1,800.00",12.5000,0.01121%,76.48%,"1,577.14",day 1119,"14,477,826.82","5,450.48",3.7851,0.03765%,78.68%,,5/12/2017,
day 3087,"16,063,200.00","1,800.00",12.5000,0.01121%,76.49%,"1,577.14",day 1120,"14,483,277.29","5,442.99",3.7799,0.03758%,78.71%,,5/13/2017,
day 3088,"16,065,000.00","1,800.00",12.5000,0.01120%,76.50%,"1,577.14",day 1121,"14,488,720.29","5,435.52",3.7747,0.03752%,78.74%,,5/14/2017,
day 3089,"16,066,800.00","1,800.00",12.5000,0.01120%,76.51%,"1,577.14",day 1122,"14,494,155.81","5,428.05",3.7695,0.03745%,78.77%,,5/15/2017,
day 3090,"16,068,600.00","1,800.00",12.5000,0.01120%,76.52%,"1,577.14",day 1123,"14,499,583.86","5,420.60",3.7643,0.03738%,78.80%,,5/16/2017,
day 3091,"16,070,400.00","1,800.00",12.5000,0.01120%,76.53%,"1,577.14",day 1124,"14,505,004.46","5,413.16",3.7591,0.03732%,78.83%,,5/17/2017,
day 3092,"16,072,200.00","1,800.00",12.5000,0.01120%,76.53%,"1,577.14",day 1125,"14,510,417.62","5,405.72",3.7540,0.03725%,78.86%,,5/18/2017,
day 3093,"16,074,000.00","1,800.00",12.5000,0.01120%,76.54%,"1,577.14",day 1126,"14,515,823.34","5,398.30",3.7488,0.03719%,78.89%,,5/19/2017,
day 3094,"16,075,800.00","1,800.00",12.5000,0.01120%,76.55%,"1,577.14",day 1127,"14,521,221.64","5,390.88",3.7437,0.03712%,78.92%,,5/20/2017,
day 3095,"16,077,600.00","1,800.00",12.5000,0.01120%,76.56%,"1,577.14",day 1128,"14,526,612.52","5,383.48",3.7385,0.03706%,78.95%,,5/21/2017,
day 3096,"16,079,400.00","1,800.00",12.5000,0.01119%,76.57%,"1,577.14",day 1129,"14,531,996.00","5,376.09",3.7334,0.03699%,78.98%,,5/22/2017,
day 3097,"16,081,200.00","1,800.00",12.5000,0.01119%,76.58%,"1,577.14",day 1130,"14,537,372.09","5,368.71",3.7283,0.03693%,79.01%,,5/23/2017,
day 3098,"16,083,000.00","1,800.00",12.5000,0.01119%,76.59%,"1,577.14",day 1131,"14,542,740.80","5,361.33",3.7231,0.03687%,79.04%,,5/24/2017,
day 3099,"16,084,800.00","1,800.00",12.5000,0.01119%,76.59%,"1,577.14",day 1132,"14,548,102.13","5,353.97",3.7180,0.03680%,79.07%,,5/25/2017,
day 3100,"16,086,600.00","1,800.00",12.5000,0.01119%,76.60%,"1,577.14",day 1133,"14,553,456.10","5,346.62",3.7129,0.03674%,79.09%,,5/26/2017,
